,entry,element_in,element_out,event
0,3390,346,209,17
1,3390,164,26,20
2,5222,384,301,8
3,5222,330,38,12
4,5222,268,209,17
5,5222,268,26,20
6,5301,268,258,17
7,5301,297,312,17
8,797,235,301,8
9,797,118,71,19
10,797,275,26,20
11,2816,364,393,6
12,2816,304,325,9
13,2816,330,63,12
14,2816,92,18,15
15,2816,228,209,17
16,2816,275,26,20
17,2028,21,298,14
18,2028,298,26,20
19,5492,84,245,11
20,5492,80,393,11
21,5492,80,235,13
22,5492,80,368,16
23,5492,245,235,16
24,5492,80,84,17
25,5492,325,255,18
26,5492,80,368,18
27,5492,325,255,19
28,25615,206,344,1
29,25615,206,200,4
30,25615,344,10,5
31,25615,1,344,7
32,25615,1,344,8
33,25615,17,301,8
34,25615,1,344,9
35,25615,17,206,9
36,25615,1,344,10
37,25615,17,206,10
38,25615,10,256,10
39,25615,1,245,11
40,25615,17,256,11
41,25615,1,344,12
42,25615,17,370,12
43,25615,10,256,12
44,25615,1,344,13
45,25615,10,256,13
46,25615,1,256,14
47,25615,17,38,14
48,25615,1,344,15
49,25615,17,47,15
50,25615,10,256,15
51,25615,1,344,16
52,25615,17,370,16
53,25615,10,256,16
54,25615,1,344,17
55,25615,17,84,17
56,25615,10,47,17
57,25615,1,344,18
58,25615,17,84,18
59,25615,10,256,18
60,25615,1,344,20
61,25615,17,256,20
62,25615,10,38,20
